Rank,Title,Description,Runtime,Genre,Rating,Metascore,Votes,Gross_Earning_in_Mil,Director,Actor
"38,""Основатель"",""    The story of Ray Kroc, a salesman who turned two brothers' innovative fast food eatery, McDonald's, into the biggest restaurant business in the world, with a combination of ambition, persistence, and ruthlessness."",115,""Biography"",7.2,66,94390,12.79,""John Lee Hancock"",""Michael Keaton"""
"39,""Служанка"",""    A woman is hired as a handmaiden to a Japanese heiress, but secretly she is involved in a plot to defraud her."",145,""Drama"",8.1,84,75216,2.01,""Chan-wook Park"",""Min-hee Kim"""
"40,""Белоснежка и охотник 2"",""    Eric and fellow warrior Sara, raised as members of ice Queen Freya's army, try to conceal their forbidden love as they fight to survive the wicked intentions of both Freya and her sister Ravenna."",114,""Action"",6.1,35,86116,48.39,""Cedric Nicolas-Troyan"",""Chris Hemsworth"""
"41,""Она"",""    A successful businesswoman gets caught up in a game of cat and mouse as she tracks down the unknown man who raped her."",130,""Crime"",7.2,89,53760,NA,""Paul Verhoeven"",""Isabelle Huppert"""
"42,""Твое имя"",""    Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?"",106,""Animation"",8.4,79,126508,5.02,""Makoto Shinkai"",""Ryunosuke Kamiki"""
"43,""13 часов: Тайные солдаты Бенгази"",""    During an attack on a U.S. compound in Libya, a security team struggles to make sense out of the chaos."",144,""Action"",7.3,48,101652,52.85,""Michael Bay"",""John Krasinski"""
"44,""Преисподняя"",""    From the moment the new reverend climbs the pulpit, Liz knows she and her family are in great danger."",148,""Drama"",7.1,45,29577,NA,""Martin Koolhoven"",""Guy Pearce"""
"45,""Тролли"",""    After the Bergens invade Troll Village, Poppy, the happiest Troll ever born, and the curmudgeonly Branch set off on a journey to rescue her friends."",92,""Animation"",6.5,56,62226,153.71,""Mike Mitchell"",""Anna Kendrick"""
"46,""Джейсон Борн"",""    The CIA's most dangerous former operative is drawn out of hiding to uncover more explosive truths about his past."",123,""Action"",6.6,58,187938,162.43,""Paul Greengrass"",""Matt Damon"""
"47,""5-я волна"",""    Four waves of increasingly deadly alien attacks have left most of Earth decimated. Cassie is on the run, desperately trying to save her younger brother."",112,""Action"",5.2,33,89436,34.91,""J Blakeson"",""Chloe Grace Moretz"""
"48,""Полтора шпиона"",""    After he reconnects with an awkward pal from high school through Facebook, a mild-mannered accountant is lured into the world of international espionage."",107,""Action"",6.3,52,135177,127.44,""Rawson Marshall Thurber"",""Dwayne Johnson"""
"49,""Манчестер у моря"",""    A depressed uncle is asked to take care of his teenage nephew after the boy's father dies."",137,""Drama            "",7.8,96,210236,47.7,""Kenneth Lonergan"",""Casey Affleck"""
"50,""Демон внутри"",""    A father and son, both coroners, are pulled into a complex mystery while attempting to identify the body of a young woman, who was apparently harboring dark secrets."",86,""Horror"",6.8,65,73217,NA,""Andre Ovredal"",""Brian Cox"""
"51,""Человек - швейцарский нож"",""    A hopeless man stranded on a deserted island befriends a dead body and together they go on a surreal journey to get home."",97,""Adventure"",7,64,89645,4.21,""Dan Kwan"",""Paul Dano"""
"52,""Обещание"",""    Set during the last days of the Ottoman Empire, The Promise follows a love triangle between Michael, a brilliant medical student, the beautiful and sophisticated Ana, and Chris - a renowned American journalist based in Paris."",133,""Drama"",6.1,49,164105,NA,""Terry George"",""Oscar Isaac"""
"53,""Боги Египта"",""    Mortal hero Bek teams with the god Horus in an alliance against Set, the merciless god of darkness, who has usurped Egypt's throne, plunging the once peaceful and prosperous empire into chaos and conflict."",127,""Action"",5.4,25,93446,31.15,""Alex Proyas"",""Brenton Thwaites"""
"54,""Во всем виноват енот"",""    A man's nervous breakdown causes him to leave his wife and live in his attic for several months."",106,""Comedy"",6.3,62,12732,0.26,""Robin Swicord"",""Bryan Cranston"""
"55,""Великая стена"",""    In ancient China, a group of European mercenaries encounters a secret army that maintains and defends the Great Wall of China against a horde of monstrous creatures."",103,""Action"",6,42,109094,45.54,""Yimou Zhang"",""Matt Damon"""
"56,""Расплата"",""    As a math savant uncooks the books for a new client, the Treasury Department closes in on his activities, and the body count starts to rise."",128,""Action"",7.3,51,229444,86.26,""Gavin O'Connor"",""Ben Affleck"""
"57,""Книга джунглей"",""    After a threat from the tiger Shere Khan forces him to flee the jungle, a man-cub named Mowgli embarks on a journey of self discovery with the help of panther Bagheera and free-spirited bear Baloo."",106,""Adventure"",7.4,77,238117,364,""Jon Favreau"",""Neel Sethi"""
"58,""Славные парни"",""    In 1970s Los Angeles, a mismatched pair of private eyes investigate a missing girl and the mysterious death of a porn star."",116,""Action"",7.4,70,235185,36.26,""Shane Black"",""Russell Crowe"""
"59,""Неоновый демон"",""    An aspiring model, Jesse, is new to Los Angeles. However, her beauty and youth, which generate intense fascination and jealousy within the fashion industry, may prove themselves sinister."",117,""Horror"",6.2,51,70889,1.33,""Nicolas Winding Refn"",""Elle Fanning"""
"60,""Не дыши"",""    Hoping to walk away with a massive fortune, a trio of thieves break into the house of a blind man who isn't as helpless as he seems."",88,""Crime"",7.1,71,182407,89.22,""Fede Alvarez"",""Stephen Lang"""
"61,""Киану"",""    When an L.A. drug kingpin's kitten unexpectedly enters the life of two cousins, they will have to go through gangs, hitmen and drug dealers who claim him in order to get him back."",100,""Action"",6.3,63,40664,20.57,""Peter Atencio"",""Keegan-Michael Key"""
"62,""Перестрелка"",""    Set in Boston in 1978, a meeting in a deserted warehouse between two gangs turns into a shootout and a game of survival."",91,""Action"",6.4,63,35046,1.8,""Ben Wheatley"",""Sharlto Copley"""
"63,""Плохая партия"",""    In a desert dystopia, a young woman is kidnapped by cannibals."",118,""Drama"",5.3,62,19901,0.18,""Ana Lily Amirpour"",""Suki Waterhouse"""
"64,""Ниже её губ"",""    An unexpected affair quickly escalates into a heart-stopping reality for two women whose passionate connection changes their lives forever."",94,""Drama"",5.5,42,7177,NA,""April Mullen"",""Erika Linder"""
"65,""Полный расколбас"",""    A sausage strives to discover the truth about his existence."",89,""Animation"",6.2,66,156608,97.66,""Greg Tiernan"",""Seth Rogen"""
"66,""Варкрафт"",""    As an Orc horde invades the planet Azeroth using a magic portal, a few human heroes and dissenting Orcs must attempt to stop the true evil behind this war."",123,""Action"",6.9,32,222663,47.37,""Duncan Jones"",""Travis Fimmel"""
"67,""Дангал"",""    Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression."",161,""Action"",8.5,NA,117194,12.39,""Nitesh Tiwari"",""Aamir Khan"""
"68,""Молчание"",""    In the 17th century, two Portuguese Jesuit priests travel to Japan in an attempt to locate their mentor, who is rumored to have committed apostasy, and to propagate Catholicism."",161,""Adventure"",7.2,79,83424,7.08,""Martin Scorsese"",""Andrew Garfield"""
"69,""Последний экспресс"",""    While a zombie virus breaks out in South Korea, passengers struggle to survive on the train from Seoul to Busan."",118,""Action"",7.5,72,105198,2.13,""Sang-ho Yeon"",""Yoo Gong"""
"70,""Чудо на Гудзоне"",""    The story of Chesley Sullenberger, an American pilot who became a hero after landing his damaged plane on the Hudson River in order to save the flight's passengers and crew."",96,""Biography"",7.5,74,198165,125.07,""Clint Eastwood"",""Tom Hanks"""
"71,""Иллюзия обмана 2"",""    The Four Horsemen resurface, and are forcibly recruited by a tech genius to pull off their most impossible heist yet."",129,""Action"",6.5,46,210725,65.08,""Jon M. Chu"",""Jesse Eisenberg"""
"72,""День независимости: Возрождение"",""    Two decades after the first Independence Day invasion, Earth is faced with a new extra-Solar threat. But will mankind's new space defenses be enough?"",120,""Action"",5.2,32,153034,103.14,""Roland Emmerich"",""Liam Hemsworth"""
"73,""Средняя школа: Худшие годы моей жизни"",""    After his principal (Andy Daly) destroys his sketchbook, Rafe (Griffin Gluck) and his best friend Leo (Thomas Barbusca) decide to """"destroy his book"""" and break every rule in the school's Code of Conduct."",92,""Comedy"",6.1,51,6182,19.99,""Steve Carr"",""Griffin Gluck"""
"74,""Заклятие 2"",""    Ed and Lorraine Warren travel to North London to help a single mother raising 4 children alone in a house plagued by a supernatural spirit."",134,""Drama"",7.4,65,189274,102.47,""James Wan"",""Vera Farmiga"""
"75,""Тишина"",""    A deaf writer who retreated into the woods to live a solitary life must fight for her life in silence when a masked killer appears at her window."",82,""Horror"",6.6,67,76403,NA,""Mike Flanagan"",""John Gallagher Jr."""
"76,""Тайная жизнь домашних животных"",""    The quiet life of a terrier named Max is upended when his owner takes in Duke, a stray whom Max instantly dislikes."",87,""Animation"",6.5,61,158293,368.38,""Chris Renaud"",""Louis C.K."""
"77,""Союзники"",""    In 1942, a Canadian intelligence officer in North Africa encounters a female French Resistance fighter on a deadly mission behind enemy lines. When they reunite in London, their relationship is tested by the pressures of war."",124,""Action"",7.1,60,123106,40.07,""Robert Zemeckis"",""Brad Pitt"""
"78,""Кловерфилд, 10"",""    After getting in a car accident, a woman is held in a shelter with two men, who claim the outside world is affected by a widespread chemical attack."",103,""Drama"",7.2,76,256469,71.9,""Dan Trachtenberg"",""John Goodman"""
"79,""Опасная игра Слоун"",""    In the high-stakes world of political power-brokers, Elizabeth Sloane is the most sought after and formidable lobbyist in D.C. But when taking on the most powerful opponent of her career, she finds winning may come at too high a price."",132,""Drama"",7.5,64,51111,3.44,""John Madden"",""Jessica Chastain"""
"80,""Охота на дикарей"",""    A national manhunt is ordered for a rebellious kid and his foster uncle who go missing in the wild New Zealand bush."",101,""Adventure"",7.9,81,85466,5.2,""Taika Waititi"",""Sam Neill"""
"81,""Сноуден"",""    The NSA's illegal surveillance techniques are leaked to the public by one of the agency's employees, Edward Snowden, in the form of thousands of classified documents distributed to the press."",134,""Biography"",7.3,58,116355,21.59,""Oliver Stone"",""Joseph Gordon-Levitt"""
"82,""Зачинщики"",""    A guard at an armored car company in the Southern U.S. organizes one of the biggest bank heists in American history. Based on the October 1997 Loomis Fargo robbery."",95,""Action"",5.8,47,44244,17.36,""Jared Hess"",""Zach Galifianakis"""
"83,""Джек Ричер 2: Никогда не возвращайся"",""    Jack Reacher must uncover the truth behind a major government conspiracy in order to clear his name. On the run as a fugitive from the law, Reacher uncovers a potential secret from his past that could change his life forever."",118,""Action"",6.1,47,119110,58.7,""Edward Zwick"",""Tom Cruise"""
"84,""Очень плохие мамочки"",""    When three overworked and under-appreciated moms are pushed beyond their limits, they ditch their conventional responsibilities for a jolt of long overdue freedom, fun and comedic self-indulgence."",100,""Comedy            "",6.2,60,99165,113.26,""Jon Lucas"",""Mila Kunis"""
"85,""Моя девушка - монстр"",""    Gloria is an out-of-work party girl forced to leave her life in New York City and move back home. When reports surface that a giant creature is destroying Seoul, she gradually comes to the realization that she is somehow connected to this phenomenon."",109,""Comedy"",6.2,70,49429,3.02,""Nacho Vigalondo"",""Anne Hathaway"""
"86,""Призрачная красота"",""    Retreating from life after a tragedy, a man questions the universe by writing to Love, Time and Death. Receiving unexpected answers, he begins to see how these things interlock and how even loss can reveal moments of meaning and beauty."",97,""Drama"",6.8,23,77087,30.98,""David Frankel"",""Will Smith"""
"87,""В активном поиске"",""    A group of young adults navigate love and relationships in New York City."",110,""Comedy"",6.1,51,73267,46.81,""Christian Ditter"",""Dakota Johnson"""
"88,""Ужасающий"",""    A maniacal clown terrorizes three young women on Halloween night and everyone else who stands in his way."",82,""Horror"",5.6,NA,7797,NA,""Damien Leone"",""Jenna Kanell"""
"89,""Черепашки-ниндзя 2"",""    The Turtles get into another battle with their enemy the Shredder, who has acquired new allies: the mutant thugs Bebop and Rocksteady and the alien being Krang."",112,""Action"",6,40,76135,82.05,""Dave Green"",""Megan Fox"""
"90,""Парни со стволами"",""    Loosely based on the true story of two young men, David Packouz and Efraim Diveroli, who won a three hundred million dollar contract from the Pentagon to arm America's allies in Afghanistan."",114,""Comedy"",7.1,57,150737,43.02,""Todd Phillips"",""Jonah Hill"""
"91,""Голос монстра"",""    A boy seeks the help of a tree monster to cope with his single mother's terminal illness."",108,""Animation"",7.5,76,68818,3.73,""J.A. Bayona"",""Lewis MacDougall"""
"92,""Кредо убийцы"",""    Callum Lynch explores the memories of his ancestor Aguilar de Nerha and gains the skills of a Master Assassin, before taking on the secret Templar society."",115,""Action"",5.8,36,164081,54.65,""Justin Kurzel"",""Michael Fassbender"""
"93,""Дивергент, глава 3: За стеной"",""    After the earth-shattering revelations of Insurgent, Tris must escape with Four beyond the wall that encircles Chicago, to finally discover the shocking truth of the world around them."",120,""Action"",5.7,33,93006,66.18,""Robert Schwentke"",""Shailene Woodley"""
"94,""Лекарство от здоровья"",""    An ambitious young executive is sent to retrieve his company's CEO from an idyllic but mysterious """"wellness center"""" at a remote location in the Swiss Alps, but soon suspects that the spa's treatments are not what they seem."",146,""Drama"",6.4,47,68792,8.11,""Gore Verbinski"",""Dane DeHaan"""
"95,""Другой мир: Войны крови"",""    Vampire death dealer, Selene (Kate Beckinsale) fights to end the eternal war between the Lycan clan and the Vampire faction that betrayed her."",91,""Action"",5.8,23,61808,30.35,""Anna Foerster"",""Kate Beckinsale"""
"96,""Дедушка легкого поведения"",""    Right before his wedding, an uptight guy is tricked into driving his grandfather, a lecherous former Army Lieutenant Colonel, to Florida for Spring Break."",102,""Comedy            "",5.9,21,99379,35.54,""Dan Mazer"",""Robert De Niro"""
"97,""Глубоководный горизонт"",""    A dramatization of the disaster in April 2010, when the offshore drilling rig called the Deepwater Horizon exploded, resulting in the worst oil spill in American history."",107,""Action"",7.1,68,130941,61.28,""Peter Berg"",""Mark Wahlberg"""
"98,""Кукла"",""    An American nanny is shocked that her new English family's boy is actually a life-sized doll. After she violates a list of strict rules, disturbing events make her believe that the doll is really alive."",97,""Horror"",6,42,67613,35.79,""William Brent Bell"",""Lauren Cohan"""
"99,""Обитель зла: Последняя глава"",""    Alice returns to where the nightmare began: The Hive in Raccoon City, where the Umbrella Corporation is gathering its forces for a final strike against the only remaining survivors of the apocalypse."",107,""Action"",5.6,49,73465,26.83,""Paul W.S. Anderson"",""Milla Jovovich"""
"100,""Свадебный угар"",""    Two hard-partying brothers place an online ad to find the perfect dates for their sister's Hawaiian wedding. Hoping for a wild getaway, the boys instead find themselves out-hustled by an uncontrollable duo."",98,""Adventure"",6,51,73635,46.01,""Jake Szymanski"",""Zac Efron"""
